"lat","long","depth_m"
567208.645197757,292645.417316531,0.9144
567196.67546167,292510.792819746,1.524
567132.997530822,292431.704465977,3.048
567160.357071304,292369.334881258,4.572
567162.723747771,292357.075038552,6.096
567148.101771613,292358.516671934,7.62
567129.577275973,292353.816124654,9.144
567053.593837277,292356.665413709,10.668
566993.760584761,292337.827599041,12.192
566887.821144998,292339.056203824,13.716
566890.463762825,292382.276159185,15.24
566904.617319443,292426.782319068,16.764
566902.92638737,292546.837274738,18.288
564419.466761734,291969.080813754,19.812
567457.93457492,292789.719189173,19.812
567627.387356922,292750.7662186,21.336
567665.295634679,293159.60242147,22.86
568181.589390071,293007.571695448,24.384
568082.428802034,291900.281165157,22.86
568193.197524732,291900.686367624,24.384
568396.95790606,291110.199859737,16.764
568652.347021491,291095.23800661,16.764
569042.110333331,290700.814290169,18.288
569168.499538773,291430.529178605,18.288
569421.655999427,291036.502431497,19.812
568795.410897092,291760.728771357,19.812
569838.264702779,291508.359474193,9.144
569804.662522238,291388.33667115,7.62
569716.01076625,291431.99486296,6.096
569731.548823494,291443.102322434,4.572
569857.650293294,291426.668422816,7.62
569876.771243759,291525.594866273,6.096
569769.474428789,291763.672821208,7.62
569710.914216992,291756.835152753,6.096
569698.508758052,291755.252722627,4.572
569689.877445739,291760.574012253,3.048
569780.478595485,292167.663630574,12.192
569824.63725822,292207.604693991,10.668
569387.373069999,290345.161446535,13.716
569563.221841403,290077.497380476,3.048
568964.041092957,289748.130428931,4.572
567354.411106983,290971.121608307,3.048
566198.318192628,291446.87789702,4.572
566006.98701748,291652.798341169,4.572
565950.861952525,291491.231241595,7.62
565956.652540978,291982.196407455,9.144
565969.110246386,292015.339902463,6.096
565785.427443794,292046.041284364,12.192
566131.201193864,292185.465488136,10.668
565348.097029479,292606.690113081,18.288
565232.987290114,292070.745034501,18.288
565126.631800813,292090.217076815,19.812
565084.549729229,290837.648922335,6.096
565003.148608082,291611.686296012,13.716
564974.885849259,291600.627945415,12.192
564973.466473219,291609.535874643,9.144
564989.88816694,291631.57852239,9.144
565077.457900076,291180.39003925,15.24
565154.879288407,291196.465786548,15.24
566657.031449059,296204.06631734,1.524
566688.389126818,295952.460074573,0.9144
567369.397289213,296126.874137971,0.9144
568558.51759605,294490.222131699,3.048
568440.642754479,294370.64173657,7.62
568290.884424821,293544.900178537,22.86
568256.850533184,294361.049747511,21.336
568251.34156493,294374.020321626,22.86
568237.560437474,294397.578102853,24.384
568620.56093225,293862.883024339,9.144
568628.856768019,293832.412554702,7.62
568642.777746651,293835.257660767,6.096
568644.454599614,293846.946516561,4.572
568651.14618273,293850.664718243,3.048
569956.767585066,294054.845036601,13.716
570075.081707019,293739.282818825,3.048
570098.699631882,293900.304313869,3.048
570243.19017398,294189.889749917,3.048
570321.897130463,295084.677359929,3.048
565491.734191336,293885.654719988,7.62
565458.595870241,293237.980929835,18.288
565465.562397101,293241.814241959,16.764
563096.685729557,291019.046969535,6.096
571212.635841646,291874.7753057,1.524
571219.426778545,292837.332354805,3.048
570996.455027353,293384.199691018,3.048
571024.150548317,293369.432741869,4.572
567553.841205258,292874.395410157,22.86
568109.266135327,292591.720360009,22.86
